,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
315,C130071C03Rik,4.67E-93,9.119925517,0.418,0.295,1.50E-88
316,Sbf2,4.82E-93,2.95465382,0.535,0.409,1.55E-88
318,Astn2,1.20E-92,37.83378729,0.716,0.806,3.84E-88
319,Tra2a,1.44E-92,1.827460664,0.44,0.311,4.63E-88
320,Gabrb3,4.12E-92,15.2057907,0.612,0.529,1.32E-87
321,Prrc2c,4.46E-92,9.162777219,0.442,0.316,1.43E-87
322,Kcnd2,8.00E-92,68.59043402,0.837,0.882,2.57E-87
323,Scai,1.00E-91,22.10952198,0.365,0.241,3.23E-87
324,Sptbn1,1.91E-91,3.730110094,0.481,0.362,6.13E-87
325,Ptbp2,2.22E-91,2.061544471,0.453,0.323,7.13E-87
327,4932438A13Rik,1.66E-90,4.822847207,0.477,0.351,5.32E-86
328,Zswim6,2.06E-90,17.47920809,0.302,0.18,6.63E-86
329,Ttc7b,3.95E-90,5.439935563,0.344,0.224,1.27E-85
330,Phf14,6.64E-90,14.9499709,0.446,0.314,2.14E-85
331,Dcaf6,8.75E-90,15.85691306,0.332,0.212,2.81E-85
332,Camk1d,1.82E-89,18.09610278,0.565,0.459,5.87E-85
334,Rabgap1,8.01E-89,14.1005131,0.465,0.339,2.58E-84
335,Fam172a,1.34E-88,3.601160516,0.428,0.3,4.31E-84
336,Acap2,1.51E-88,16.70170592,0.364,0.24,4.84E-84
337,Cdk12,1.58E-88,2.526398082,0.347,0.223,5.09E-84
338,Dtnb,1.80E-88,9.28585079,0.402,0.279,5.79E-84
340,Nrcam,2.76E-88,23.86557277,0.556,0.443,8.89E-84
341,Herc2,7.46E-88,5.952874064,0.412,0.287,2.40E-83
343,Kifap3,8.00E-88,3.095281536,0.366,0.243,2.57E-83
345,Dync1i1,1.30E-87,4.792332613,0.464,0.343,4.18E-83
346,Braf,1.82E-87,3.698799169,0.461,0.333,5.86E-83
349,Macf1,4.50E-86,9.285120644,0.772,0.678,1.45E-81
350,Magi1,1.25E-85,31.50897478,0.585,0.466,4.01E-81
351,Mbnl2,1.35E-85,9.404282607,0.518,0.398,4.34E-81
352,Usp32,2.09E-85,4.789532149,0.391,0.268,6.73E-81
