"","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7"
"ENSMUSG00000000148",385.521829792954,351.272807698285,297.900081264931,321.010976509727,375.265454970201,340.987788208083
"ENSMUSG00000000149",1812.15088358609,1873.42289462108,1752.49999562379,2035.91533192147,2064.47582702343,1617.94787092774
"ENSMUSG00000000154",10.6283769587086,5.02706713712181,9.14384013797969,9.04627476623972,5.45275449276485,13.4446354887433
"ENSMUSG00000000159",13.2365686741151,0.958834630670706,15.1778336080775,4.00163338980236,20.5092459176512,9.56164177247822
"ENSMUSG00000000167",43.5216790736238,61.9144591275383,45.3759787116432,48.0887374919347,49.4213559636601,58.2158815513093
"ENSMUSG00000000168",2673.958890856,2753.55042628321,2320.68743173162,2534.4898246801,2896.66462389609,2742.84216929121
"ENSMUSG00000000171",1967.0998819962,1844.39717170086,1297.20346795044,1428.4241310175,2146.91095994911,2187.98289144827
"ENSMUSG00000000184",2647.90724962509,2964.4400903752,2463.54880475971,2900.45410477348,3090.97923067622,2722.90062084235
"ENSMUSG00000000194",1263.40789149397,943.338747996251,1266.84884172081,1047.70680280183,773.77797095198,1286.81714166351
"ENSMUSG00000000197",6643.02052710283,7966.19477150998,6659.45279993957,7000.06834611443,5625.17575449494,7147.64123885962
"ENSMUSG00000000202",319.868948207401,201.468446217425,370.498420039223,287.849088546993,339.994547690416,370.500689458156
"ENSMUSG00000000214",7.55149796111409,18.4812732789484,21.2137548908356,36.1270991246489,3.00355141865389,24.9984124807544
"ENSMUSG00000000216",1.93162432725209,8.46065970808338,2.98418624881027,6.20833792993947,0,5.078014714764
"ENSMUSG00000000223",4078.52092700861,2710.93055297921,4277.67518460743,3722.27908042411,4563.93729004249,3759.64780756773
"ENSMUSG00000000247",1088.34533301924,1717.44757818071,1346.74860586177,2003.37848851243,1846.65498256609,1365.01184197169
"ENSMUSG00000000253",725.262142221353,577.1381382105,520.954017860047,722.251718940027,799.247318433737,739.204862520155
"ENSMUSG00000000263",45.9257813562325,7.34339209732243,22.0854827271049,47.5334362284505,43.1443900876419,56.0133498498277
"ENSMUSG00000000266",1428.85551026853,1528.52917948581,1082.00196442008,1251.17604520941,1039.06700398668,1283.92188066011
"ENSMUSG00000000275",200.302251675138,187.25292478817,293.163321104525,200.554613897132,99.8517298475323,219.148815020785
"ENSMUSG00000000276",2012.10094913695,2868.21656520958,2569.20693553593,2660.48234710555,2169.18158943477,2421.02164824348
"ENSMUSG00000000278",474.909076329321,492.733492622014,389.107894567537,395.869190759302,351.266789770563,351.326462444039
"ENSMUSG00000000282",693.601325240505,954.913877916416,1274.28345465714,1034.67595566927,1052.09189674066,645.624445091639
"ENSMUSG00000000290",243.670814957444,180.713754690695,162.28691766187,234.187002398273,198.355420372571,212.84705547671
